cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,cpu16,cpu17,cpu18,cpu19,cpu20,cpu21,cpu22,cpu23,cpu24,cpu25,cpu26,cpu27,cpu28,cpu29,cpu30,cpu31,cpu32,cpu33,cpu34,cpu35,cpu36,cpu37,cpu38,cpu39,cpu40,cpu41,cpu42,cpu43,cpu44,cpu45,cpu46,cpu47,cpu48,cpu49,cpu50,cpu51,cpu52,cpu53,cpu54,cpu55,cpu56,cpu57,cpu58,cpu59,cpu60,cpu61,cpu62,cpu63,cpu64,cpu65,cpu66,cpu67,cpu68,cpu69,cpu70,cpu71,cpu72,cpu73,cpu74,cpu75,cpu76,cpu77,cpu78,cpu79,cpu80,cpu81,cpu82,cpu83,cpu84,cpu85,cpu86,cpu87,cpu88,cpu89,cpu90,cpu91,cpu92,cpu93,cpu94,cpu95
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,95.2381,95,95.2381,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,95,100,100,100,100,100,100,95.2381,100,95.2381,100,55,100,100,100,100,95.454544,100,100,100,95,100,100,95.2381,100,100,100,100,100,100,100,100,95.2381,95.2381,100,100,100,100,100,100,100,100,100,100,95.454544,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100
95.2381,95.2381,95,100,95.2381,95,95,95,95.2381,95,95,95,100,94.73685,95,94.73685,94.73685,95,95,95,95,95.2381,95,95,95,95,95,95.2381,94.73685,100,94.73685,100,95.2381,77.77778,94.73685,95.2381,95,95,94.73685,95.2381,95,95,95.2381,95,95,100,94.73685,95,95,95,95,95,95,95.2381,95,95,94.73685,100,95,95,95.2381,90,95,100,95,95,94.73685,100,95,94.73685,95,95,95,95,95,94.73685,95,100,95,95,95,100,95,95,95,95,95,95,95,94.73685,95,95.2381,95,95,94.73685,94.73685
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,95.2381,100,100,100,100,100,95,100,100,100,100,95.2381,100,100,100,95.454544,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,95,100,100,95.454544,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,100,95,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,95.2381,95,100,100,95,100,100,100,100,100,100,95.2381,100,100,95,100,95.2381,100,95.454544,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,21.052631,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,95,100,100,100,100
95.2381,100,100,100,100,45,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,95.454544,100,100,100,100,100,100,95,100,95,100,95.2381,100,100,100,100,95.2381,100,100,100,100,95.454544,100,100,100,100,100,95.2381,100,100,100,100,100,95.454544,100,95.454544,100,100,100,100,100,100,100,100,100,95.2381,100,95.2381,100,100,100,100,100,95.2381,100,100,100,100,95.2381,100,100,100,100,95.454544,100
100,100,94.73685,100,100,89.47369,100,100,100,100,100,100,100,95,95.2381,100,95.2381,100,100,100,100,100,95,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,95.454544,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,95,100,100,100,100,100
100,95.2381,100,100,100,100,94.73685,100,95.2381,94.73685,95.2381,95,100,100,100,100,100,100,95,100,100,95.2381,100,95,100,100,95,100,94.73685,100,100,100,100,100,95,100,95,94.73685,100,100,100,95,100,95,100,100,100,100,95,95,100,100,100,100,94.73685,95,95,100,100,100,94.73685,100,100,100,100,100,100,100,95.2381,100,95.2381,100,100,100,95,95,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,95,100,95
100,100,95.2381,100,95,95.2381,100,95.2381,100,100,100,100,100,100,100,95,100,95.2381,100,95.2381,95,100,100,100,95.454544,95.2381,100,100,100,95,100,100,95,100,100,95,100,100,95.2381,100,95.2381,100,95.2381,100,95.454544,100,100,95.2381,100,100,95,100,100,95.2381,100,100,100,100,100,100,100,95.2381,95.2381,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,95.2381,95.2381,100,100,100,100,100,95.2381,100,100,95.2381,100
95,100,100,95.2381,100,100,100,100,100,100,100,100,95,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,95,100,95,95.2381,100,100,100,100,95.2381,95,100,100,100,100,95.2381,95.2381,95.2381,100,100,100,95.2381,100,100,95,95.2381,100,95.454544,95,100,95.2381,100,100,100
100,95,100,100,100,100,100,100,100,100,94.73685,100,100,100,100,100,95,100,100,100,100,100,95,100,100,100,100,95.2381,95.2381,100,95.2381,95.2381,100,95.2381,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,95.2381,100,100,95.2381,100,100,95.2381,100,100,100,100,100,100,100,100,100,95,95.2381,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100
100,100,100,100,100,100,95.454544,100,100,95,100,95.454544,100,100,100,100,100,95.2381,95.2381,100,100,95,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,95.2381,100,100,95.454544,100,100,95,100,95.2381,100,100,100,95,95.454544,100,100,95.2381,95.454544,100,100,95.2381,95.2381,95.2381,100,100,95.2381,100,100,100,100,100,100,100,95,95,100,100,100,95.2381,100,100,95.454544,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,95.2381,95
95.2381,95.2381,95.2381,95,95,94.73685,100,94.73685,95,100,95,100,100,75,95,95.2381,94.73685,100,100,95,95,100,100,95,95,95,100,100,100,95,94.73685,100,95.2381,100,95.2381,100,95.2381,94.73685,100,100,95,100,95,100,100,95,95.2381,100,95,95,95.2381,100,100,94.73685,94.73685,100,100,100,100,100,100,95,94.73685,100,95.2381,100,95,100,100,100,95,95,100,100,95,95,100,100,95,100,95.2381,100,95,95.2381,95.2381,100,95.2381,100,95.2381,95,95,95,94.73685,100,100,100
100,100,94.44444,100,94.73685,94.73685,94.73685,95,100,94.44444,94.73685,94.73685,95,47.368423,94.73685,94.73685,100,94.44444,94.73685,94.73685,94.44444,94.73685,94.44444,94.73685,95,94.73685,94.73685,94.44444,94.73685,94.73685,100,94.73685,94.73685,94.73685,94.44444,88.88889,94.44444,94.73685,94.44444,94.73685,94.73685,94.73685,94.73685,94.73685,94.73685,94.73685,100,94.73685,100,94.73685,100,94.73685,94.73685,94.73685,100,94.73685,94.44444,94.73685,94.73685,95,94.73685,100,94.44444,94.44444,100,95,100,95,94.44444,94.44444,94.73685,100,100,100,94.44444,94.73685,94.73685,95,94.73685,95,100,94.73685,100,94.44444,94.44444,94.73685,100,94.44444,100,94.73685,100,94.73685,94.73685,94.73685,94.44444,94.73685
89.47369,84.210526,89.47369,85.71429,90,89.47369,84.210526,88.88889,84.210526,90,88.88889,88.88889,84.210526,83.33333,88.88889,89.47369,85,88.88889,82.35294,88.2353,89.47369,84.210526,78.94737,84.210526,88.88889,89.47369,85,90,90,89.47369,83.33333,85,89.47369,90,88.2353,84.210526,88.88889,88.88889,88.88889,85.71429,89.47369,89.47369,89.47369,89.47369,94.117645,88.2353,90.47619,89.47369,84.210526,89.47369,89.47369,90,89.47369,89.47369,88.88889,89.47369,85,90,88.88889,85,88.88889,88.88889,89.47369,88.88889,85,94.117645,90,90,88.2353,88.88889,89.47369,85,88.88889,89.47369,90,89.47369,89.47369,89.47369,88.2353,89.47369,89.47369,89.47369,88.88889,89.47369,90,88.88889,83.33333,89.47369,89.47369,88.2353,88.2353,89.47369,89.47369,84.210526,85,88.2353
90,95,90,94.73685,90.47619,90,95.2381,90.47619,95.2381,90,95,95.2381,95,95,90.909096,94.73685,95.2381,95.2381,95,95,90.47619,95,94.73685,95,90,95,95.2381,95,90,90,90,95.2381,95,90,86.95652,90,90,90.909096,90,95,90,90.47619,89.47369,90,95,90.47619,94.73685,90.47619,89.47369,90,90,90.47619,90,95,90.909096,90,90,95,90,95,95,95.2381,90.47619,90.47619,94.73685,95,90.47619,94.73685,95,90.47619,90,95,95.2381,95.2381,90,95.2381,90.47619,90,90.47619,95,90.47619,95.454544,90,95,94.73685,90.909096,94.73685,90.909096,95,95.2381,90.909096,94.44444,90.47619,95.2381,90,90.47619
89.47369,90,85,85,90,85,85.71429,89.47369,85.71429,90,85.71429,90,89.47369,80,89.47369,85.71429,85.71429,89.47369,85.71429,90,85.71429,75,86.36364,90,85.71429,90,85,85.71429,90,85,85,85,90,90.47619,85,89.47369,90.47619,88.88889,85.71429,84.210526,85.71429,90,85.71429,90,90.47619,90,94.73685,90,84.210526,89.47369,90,90,90,90.47619,94.73685,85.71429,89.47369,84.210526,90.47619,90,90,90.47619,90,89.47369,85.71429,90.47619,89.47369,95,90.47619,89.47369,89.47369,90.47619,94.73685,94.73685,90,90,89.47369,90.47619,90,90.47619,90,90,90.909096,90,85,89.47369,90,90,90,85.71429,89.47369,85.71429,90,85,89.47369,90
85.71429,84.210526,84.210526,85,88.88889,88.88889,88.88889,85,88.88889,88.88889,89.47369,84.210526,85,84.210526,85,88.88889,89.47369,94.44444,84.210526,83.33333,84.210526,68.42105,88.88889,84.210526,88.88889,89.47369,88.88889,88.88889,84.210526,84.210526,85,88.88889,85,84.210526,88.88889,84.210526,89.47369,85,85,88.88889,85.71429,85,88.88889,84.210526,84.210526,88.88889,85,84.210526,84.210526,85.71429,90,89.47369,89.47369,90,90,88.88889,85.71429,89.47369,84.210526,83.33333,90,94.44444,84.210526,85,89.47369,94.44444,85.71429,89.47369,90,85,85,84.210526,90.47619,90,83.33333,89.47369,85,90.47619,84.210526,90.47619,85,84.210526,90,85,84.210526,89.47369,85.71429,88.88889,89.47369,90,84.210526,89.47369,88.88889,89.47369,85.71429,85
89.47369,90,85,90,86.36364,85,85.71429,89.47369,90,85.71429,90,90.47619,90.47619,90.47619,89.47369,85.71429,90.47619,71.42857,86.36364,90,90,89.47369,85.71429,94.73685,90,90,90.47619,89.47369,90.47619,90.47619,85,85.71429,89.47369,90,85,90,89.47369,89.47369,90,85.71429,88.88889,90,85,90,85.71429,85.71429,90,90,90,89.47369,90,89.47369,85,90,89.47369,86.36364,89.47369,90,90,85,85.71429,85.71429,90,90,85.71429,89.47369,90.47619,89.47369,89.47369,86.36364,90,90,85,94.73685,86.36364,90.47619,90,94.44444,90,94.44444,89.47369,90,84.210526,90,89.47369,85.71429,94.44444,90,89.47369,85.71429,90.47619,85.71429,86.36364,90,90,85.71429
85.71429,85.71429,85,85,90,85.71429,85.71429,85.71429,85.71429,85,85,85,85.71429,90,81.818184,85.71429,85.71429,85,85,80.952385,85,86.36364,85,85.71429,85.71429,90,85,86.36364,80,85,81.818184,84.210526,85,85,85.71429,86.36364,89.47369,81.818184,80.952385,86.36364,80.952385,85,85.71429,85,85,89.47369,80,85,80.952385,85.71429,84.210526,85,85.71429,90,90,85,85.71429,85,84.210526,90,90,85,85.71429,86.36364,85,85.71429,85,89.47369,84.210526,85,84.210526,85.71429,85,90.47619,85,90,85,86.36364,85.71429,90,85,85.71429,86.36364,85.71429,80.952385,85.71429,90.47619,86.36364,89.47369,85.71429,85.71429,90,89.47369,85.71429,85,89.47369
94.73685,90.47619,90,90,90,90,89.47369,90.909096,90.47619,90,95.2381,90,94.73685,90.47619,90,89.47369,94.73685,90,90,90,90.47619,90,94.73685,90.47619,90.47619,90,90.47619,90,90,90.47619,90,90,90.47619,90,90.47619,90,90,57.894737,90.47619,94.73685,89.47369,90,89.47369,90.47619,90.47619,90.47619,90,90.47619,90,90,95,90.47619,90,95,90,90,90,90.47619,80,90.909096,90,90.47619,90,90,94.73685,95.2381,90,95,90,89.47369,90.909096,95,90,94.73685,90,95,95,89.47369,90.47619,95.2381,90.47619,95,94.73685,90.47619,90,90.47619,90,90,90.909096,90.47619,94.73685,94.73685,90,90,90.47619,90
90,88.88889,89.47369,89.47369,90,89.47369,89.47369,94.117645,89.47369,85.71429,89.47369,95,89.47369,89.47369,90,85,90.47619,89.47369,90,84.210526,94.44444,89.47369,90,94.44444,89.47369,94.73685,90,89.47369,90,94.73685,90,90.47619,94.44444,90,89.47369,89.47369,90,90,89.47369,90,88.88889,89.47369,90,85,90,90,85.71429,90,90.47619,89.47369,90,90,89.47369,94.73685,90.47619,90,85,90,89.47369,90,85.71429,94.73685,94.73685,88.88889,90,94.44444,89.47369,94.73685,89.47369,90,94.73685,89.47369,90,85,90,89.47369,90,90.47619,88.88889,85,84.210526,89.47369,94.73685,88.88889,89.47369,90,89.47369,89.47369,94.73685,89.47369,95,90.47619,90,94.73685,89.47369,89.47369
94.73685,95,90.47619,95.2381,100,95.2381,95.2381,95,95,95,95,94.73685,90.47619,95.454544,95.2381,95,95,95,95.2381,95.454544,95,95.2381,95.2381,95.2381,100,95.2381,95,95.454544,95,95,90.47619,95,95,95,90.47619,95.2381,100,95,90.47619,95,90.909096,95.2381,90.47619,95.2381,95,95,95,95,95,95,95,95.2381,95.2381,90.47619,100,95,95,95,95.2381,94.73685,95,95.2381,95.454544,95.454544,95.2381,95,94.73685,95,95,95,95,95.2381,95,95.2381,95,95.2381,95,95,94.73685,95.2381,95.454544,95.2381,95.2381,95,95,94.73685,95,95.2381,94.73685,95,95,94.73685,95.2381,95.2381,90.47619,91.30435
95,95.2381,100,95,95,95,95,95.2381,95.2381,95,100,95,100,95,94.73685,100,95,95,95,94.73685,95.2381,100,95,94.73685,95,95.2381,95,100,95.2381,95.2381,94.73685,100,95,95.2381,100,94.73685,95.2381,95,95,95.2381,100,95,100,94.73685,95,95,95,95.2381,95,95,95,100,95,95,94.73685,95.454544,95.2381,95.2381,95,95.2381,95,95,100,100,95.2381,95.454544,95,95.2381,95.2381,95,95.2381,95,100,94.73685,95,95.2381,95,95.2381,95,100,94.73685,95,95.454544,95,95.2381,95,95.2381,95,95.2381,95,95.454544,95.2381,95,95,100,100
95.454544,100,95.2381,100,100,100,95.2381,100,100,100,95.2381,100,95.2381,100,100,95.2381,100,100,95.2381,95.2381,95.2381,95.2381,100,100,100,100,100,95.2381,100,100,95.454544,95.454544,95.2381,100,95,95.454544,95.2381,95.454544,100,95.2381,95.2381,95,95.2381,100,100,100,95.2381,100,95.2381,95.2381,100,95.2381,100,100,100,100,100,100,95.2381,95.2381,100,100,95.2381,100,100,100,95.2381,100,100,100,95.2381,100,95.2381,100,100,100,95.2381,100,95.2381,95.2381,95.2381,100,100,95.2381,95.2381,100,95.2381,100,100,95,100,95.454544,95.2381,95.2381,95.454544,95
100,95.2381,100,95.2381,95.2381,100,100,95.2381,100,95,100,100,100,100,95.2381,100,95,100,100,100,100,100,95.2381,95,95.2381,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,95,100,100,100,100,95,100,95,100,100,100,100,100,95,100,100,100,95,100,95,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,95,100,100,95,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,60.000004,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,95.2381,100,100,100,100,100,95,95,100,95,100,100,100,100,100
100,100,95.2381,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,95,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,95.2381,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,90.47619,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,95.454544,100,95,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,95.2381,100,100,100,100,95,100,100,100,100,95,100
90,90,89.47369,89.47369,90,89.47369,90,90,88.88889,89.47369,90,89.47369,89.47369,89.47369,90,90,95,90,89.47369,89.47369,90,90,89.47369,90,89.47369,40,90.47619,90,90,90.47619,90,90,90,90.47619,89.47369,89.47369,89.47369,89.47369,90,90,88.88889,89.47369,90,89.47369,89.47369,94.73685,90,90,89.47369,90,89.47369,90,84.210526,90.47619,89.47369,90,89.47369,89.47369,89.47369,94.44444,90,94.44444,90,90,89.47369,90,88.88889,90,94.73685,90,90,90.47619,89.47369,85.71429,90,94.73685,89.47369,89.47369,89.47369,89.47369,85,89.47369,95,90,89.47369,90,89.47369,90.47619,90,90,89.47369,90,90,89.47369,90,90
95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,65,100,100,100,100,100,100,100,95.2381,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,95.454544,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,95.2381,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,57.894737,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,95.454544,100,100,100,100,95.454544,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,95.2381,95.454544,100,95.2381,100,95,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,100,100,100,95.2381,100,95.2381,100,100,100,100,100,100,100,95.2381,100,100
100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.454544,100,100,100,100,65,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,95,100,95,100,100,100,95,94.73685,100,95,95,100,95,100,100,100,95,100,100,95,100,95,100,95.2381,95.2381,100,95,95,100,100,100,100,95.2381,100,95,84.210526,100,95.2381,95,100,100,95,100,100,95,95.2381,95.2381,100,95,100,100,95.2381,95.2381,95.2381,100,100,95.2381,100,95,100,100,100,100,100,95,95.2381,100,100,95,100,95,100,100,100,100,100,100,95,95,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,94.73685,95.2381
90.47619,95,95,95,95,94.73685,90.47619,95,95,95,95,94.73685,95,95.2381,94.73685,90,95,90.47619,90.47619,90.47619,90.47619,95,90.47619,94.73685,94.73685,95,94.73685,94.73685,95,95,90.47619,90,94.73685,95.2381,94.73685,95,95.2381,95,90.47619,94.73685,95,95,94.73685,95,95,95,95,95,94.73685,90.47619,95,90,90.47619,95,94.73685,95,95,95,95,90.47619,95,94.73685,90.47619,90.47619,94.73685,90.47619,95,94.73685,94.73685,90.47619,94.73685,90,95,95,94.73685,95,90.47619,90.47619,90.47619,95,94.73685,90.47619,95,94.73685,90.909096,95,90,90,90.47619,94.73685,90.47619,90,90,90,95,94.73685
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,95,100,100,95.2381,100,100,100,100,95.2381,95,95.2381,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,95,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,95,100,100,100,95,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,95.454544,100,100,100,100,100,100,100,100,100,95,100,100,95,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100
100,100,100,95.454544,100,100,94.73685,95,100,100,95.2381,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,95,100,95.2381,100,100,100,100,72.72727,100,95.2381,100,95.454544,95.2381,95,100,100,95,100,100,100,100,100,95,100,100,100,100,95,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,95,100,100,95,100,100,100,100,100,95.2381
95,100,95,100,100,100,100,100,100,95.2381,100,95,100,100,95,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,95,100,100,100,100,100,100,100,100,100,100,100,100,95.2381,100,95.2381,100,100,100,95,95.2381,100,100,100,100,100,100,100,100,95.2381,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,95,95,100
